WELCOME SUBMITTERS and THANK YOU! Please add newly discovered CDs with Pre-Emphasis to the top or bottom rows of the table.  An Editor will review your submission.,,,,,,,,,,,,,,,,,,,,,,,,,
Contents of this table courtesy of many dedicated CD music fans & members at Steve Hoffman forum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,ARTIST,RELEASE TITLE,LABEL,CATALOG ID#,CTRY MFR,CTRY MKT,MFR,MATRIX,PE FLAG,Submitter,NOTES,Discogs URL,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,Willie Nelson,Angel Eyes,CBS/Sony,35DP 150,,,,35DP-150 11A3 +++++,,jfeldt,"JASRAC 3/4 black face,  inner ring: CSR COMPACT DISC 3x",,,,,,,,,,,,,,
add >,(Compilation),Reference Classics,Reference Recordings,RR-S1CD,,,"DISC MFG, INC.","W.O. # 20000T-3 RR S1CD DISC MFG., INC. (A1)",SUBQ,jfeldt,only track 8 and 20 have PE,,,,,,,,,,,,,,
add >,The Chick Corea Elektric Band,Eye of the Beholder,GRP Digital,VDJ-1146,,,Victor Musical Industries Inc,VDJ-1146-1 A1C 2 tetris blocks,SUBQ,jfeldt,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthony Braxton,Quartet,London,,,,,,Unknown,Downsampled,"(London) 1985 - 2CD, Leo CD LR 200/201",,,,,,,,,,,,,,
,Anthony Braxton,Six Compositions (Quartet),,,,,,,Unknown,Downsampled,1984 - Black Saint,,,,,,,,,,,,,,
,Apsaras,Apsaras,,MK 39559,,,DADC,DIDC 20138 11A1,TOC,Downsampled,"(1984, MK 39559) matrix DIDC 20138 11A1, stamped in hub: Made in USA - Digital Audio Disc Corp. Flagged in TOC.",,,,,,,,,,,,,,
,Art Garfunkel,Scissors Cut,CBS; Sony,38DP 22,JP,JP,Sony,38DP-22-18 1A1,SUBQ,Blue Gecko,Crude Font Reverse--Sony Hub,,,,,,,,,,,,,,
,Art Pepper,Darn That Dream,RealTime,RT 3009,JP,US,Sanyo,RT 3009 306112/306134,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Asia,S/T,,35DP 25,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Aurèle Nicolet & Michio Kobayashi,"Bach, Sonatas for Flute and Harpsichord Obbligato",Denon,38C37-7058,JP,JP,Denon,7058 A-27,SUBQ,Blue Gecko,Large Stamped Font,,,,,,,,,,,,,,
,"Bachman, Turner Overdrive",Not Fragile and Four Wheel Drive,,33PD 424,,,,,Unknown,Downsampled,Japan 2fer,,,,,,,,,,,,,,
,Barbirolli/Czech PO,Franck Symphony in D Minor,Supraphon,11 0613-2 011,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Barbra Streisand,Greatest Hits Volume 2,,"35DP 161
CDCBS 86079",,,,DIDP 10025 41A2,Unknown,,,,,,,,,,,,,,,,
,Barbra Streisand,"Greatest Hits, Volume 2",CBS; Sony,35DP 161,JP,JP,Sony,35DP-161 41A1 +++++,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Barbra Streisand,Guilty,,CDCBS 86122,JP,EU,,81A20 +++++,SUBQ,,,,,,,,,,,,,,,,
,Barbra Streisand,Guilty,CBS; Columbia,"CK 36750, DIDP 50007",JP,US,Sony,35DP-7 91A6,SUBQ,Blue Gecko,Neat Font Reverse--Blank Hub,,,,,,,,,,,,,,
,Barbra Streisand,Guilty,,35DP 7,,,,,TOC,,,,,,,,,,,,,,,,
,Barbra Streisand,The Way We Were,Columbia,"CK 32801, DIDP 020056",US,US,DADC,DIDP 020056-2 ◊◊◊ ◊◊◊◊◊,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Barbra Streisand,The Way We Were,,"CK 32801
35DP 162",,,,DIDP 20056,Unknown,,,,,,,,,,,,,,,,
,Barenboim,Schubert Symphonies 2 & 8,CBS Masterworks,MK 39676,,,,,Unknown,Downsampled,CBS Masterworks MK 39676 DIDC 20191,,,,,,,,,,,,,,
,Barry Wordsworth,"Berners, The Triumph of Neptune Suite",EMI Digital,CDC 7 47668 2,UK,EU,Nimbus,CDC 7 47668 2 :.,TOC,,,,,,,,,,,,,,,,
,"Beatles, The",Abbey Road,EMI,CP35-3016,,,,,SUBQ,,Black Triangle,,,,,,,,,,,,,,
,Bedrich Smetana,My Country,Supraphon,38C37-7241,JP,,Denon,TD-9007 1B1 57,SUBQ,SimonSaysCake,,,,,,,,,,,,,,,
,Berlin Radio Symphony Orchestra/Heinz Rögner,Schubert Symphony No. 9,,38C37-7035,,,,,Unknown,Downsampled,"38C37-7035, A-25, 7035 matrix",,,,,,,,,,,,,,
,Bernard Herrmann,North by Northwest: Original Motion Picture Score,Varese Sarabande,VCD 47205,JP,,,,Unknown,,,,,,,,,,,,,,,,
,Bert Lucarelli,The Sensual Sound of the Soulful Oboe,Special Music; Essex,"SCD 4527, DIDX 1290",JP,US,Daio Kosan,282.0,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Big Audio Dynamite,This Is Big Audio Dynamite,Columbia,"CK 40220, DIDP 20460",US,US,DADC,DIDP 020460 11A9,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Big Audio Dynamite,This Is Big Audio Dynamite,,CDCBS 26714,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Billy Harper,"Soran-Bushi, B.H.",Denon,C38-7007,JP,JP,Denon,7007 D-A6,SUBQ,Blue Gecko,Large Stamped Font,,,,,,,,,,,,,,
,Billy Joel,52nd St.,,35DP 1,JP,JP,Sony,,Unknown,Downsampled,35DP 1 - Japan for Japan / Japan for US,,,,,,,,,,,,,,
,Billy Joel,Glass Houses,,35DP 18,JP,JP,Sony,,Unknown,Downsampled,35DP 18 (Japan for Japan / Japan for US),,,,,,,,,,,,,,
,Billy Joel,Glass Houses,CBS; Columbia,"CK 36384, DIDP 50018",JP,US,Sony,35DP-18 71,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Billy Joel,Piano Man,,CDCBS 80719,JP,EU,Sony,,Unknown,Downsampled,CDCBS 80719 Japan for Europe with 35DP 109 in the matrix,,,,,,,,,,,,,,
,Billy Joel,Piano Man,,CK 32544,AT,JP,Sony,,Unknown,Downsampled,"CK 32544 Columbia, Made In Austria",,,,,,,,,,,,,,
,Billy Joel,Piano Man,,CK 32544,JP,US,Sony,,Unknown,Downsampled,"CK 32544 Columbia USA ""The Nice Price""",,,,,,,,,,,,,,
,Billy Joel,Songs In The Attic,,35DP 19,JP,JP,Sony,,Unknown,Downsampled,35DP 19,,,,,,,,,,,,,,
,Billy Joel,The Nylon Curtain,,35DP 34,JP,JP,Sony,,Unknown,Downsampled,35DP 34 (crude font matrix),,,,,,,,,,,,,,
,Billy Joel,The Stranger,,35DP 2,JP,JP,Sony,,Unknown,Downsampled,35DP 2 (crude font matrix),,,,,,,,,,,,,,
,Billy Joel,Turnstiles,,35DP 111,JP,JP,Sony,,SUBQ,Downsampled,"35DP 111 (Japan for Japan), black face with CSR x3 hub (SUBQ)",,,,,,,,,,,,,,
,BIX,Doozgle,,ZNCD033,,,,,TOC,Downsampled,"ZNCD033, 1993 (TOC)",,,,,,,,,,,,,,
,Black Sabbath,--,,,,,,,Unknown,Downsampled,“CLACD and NELCDs have it”,,,,,,,,,,,,,,
,Black Sabbath,Paranoid,Castle,,JP,UK,JVC,,SUBQ,c-eling,1986.0,,,,,,,,,,,,,,
,Bob Dylan,Bob Dylan's Greatest Hits,CBS,CK 9463 / DIDP 50099,,,,35DP-99 41A1,Unknown,Downsampled,CBS - CK 9463 / DIDP 50099 - Matrix: 35DP-99 41A1,,,,,,,,,,,,,,
